layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
1,1,16,trace,10,0.9991828465962966,0.03920333562022165,0.9958467249984004,0.0005295173301521514,0.013102560781629824,0.00806571715009142
1,1,32,instant,10,0.849634913694947,0.5168848532727798,0.7466065240747106,0.0792513483011731,0.14348571677273575,0.1489994071918084
1,1,32,trace,10,0.9986258761243176,0.05302378034705581,0.9972873011723682,0.0008714731001545991,0.015389309426193005,0.017199808916676797
1,1,64,instant,10,0.8441132510078468,0.514990822693286,0.7354019523604499,0.0911502767623651,0.1836076171355612,0.17379388732924916
1,1,64,trace,10,0.997388364859017,0.06968260663692483,0.9980178715436313,0.002236013898916629,0.029569736477593693,0.022100178761883936
1,1,128,instant,10,0.8423836353373195,0.5247252559658422,0.7273862539252975,0.08598099764195793,0.17114690638072294,0.1709069215591637
1,1,128,trace,10,0.9950736234253481,0.10035719822722826,0.9954441522920006,0.003990867307369225,0.035688637684063815,0.03844522185368603
1,1,256,instant,10,0.8300291401625458,0.5531180575709618,0.7075326881796117,0.08336793626855586,0.1461577636679802,0.1650488111050166
1,1,256,trace,10,0.9921327433348293,0.12432841542389761,0.9911065622691322,0.00726019067766629,0.050307886002958935,0.04931161179044864
2,0,2,instant,10,0.9901829693310704,0.1321574046873038,0.9894413634098074,0.007981726547992887,0.06509556639729537,0.049071105425533015
2,0,2,trace,10,0.9939951823395999,0.10338249555878916,0.9939376100823889,0.004698730835528888,0.05090889166558428,0.036971807124873586
2,0,4,instant,10,0.9570126059194894,0.2903113095854057,0.931607754539252,0.020237185251296804,0.07388450623146907,0.08324713432942794
2,0,4,trace,10,0.97726127692261,0.19985329692940673,0.9620955153878066,0.018978230327191443,0.0816667885456957,0.0540104717714288
2,0,8,instant,10,0.8276027314775257,0.546270590916442,0.7517602885591679,0.11325274684846759,0.13434459599359494,0.16171466113029262
2,0,8,trace,10,0.9423206773567984,0.3372648362528604,0.9343935306248616,0.029124730689882916,0.0991729741626135,0.1024881591589343
2,0,16,instant,10,0.7415480828871416,0.6554150303688777,0.6570838342937825,0.1310087611820276,0.14843915711280853,0.14071997210457574
2,0,16,trace,10,0.9212814038133402,0.3981846011532405,0.8494473283015587,0.04438120797809563,0.11008498117741611,0.1137946060880722
2,0,32,instant,10,0.6699073948369199,0.7274451219314696,0.5939011344312067,0.15943611016848205,0.10807935103658077,0.1354619551069245
2,0,32,trace,10,0.9214498353722306,0.4009663058013445,0.8188364811882988,0.049772660177412054,0.13277693573265856,0.1305579772110172
2,0,64,instant,10,0.6429552138701332,0.7513173212479007,0.5626260920187688,0.1595503204687565,0.10290636014816341,0.1241777495184853
2,0,64,trace,10,0.9200879559640583,0.4066129033735505,0.7947375012159099,0.05464557106883962,0.12391706510120369,0.12978609579269004
2,0,128,instant,10,0.6122603618704036,0.7718968625810211,0.5328915536642602,0.17714948104431114,0.10877170056028643,0.14124574080872532
2,0,128,trace,10,0.9143063286333966,0.42143245517890177,0.7807977411310121,0.06353019448880137,0.13037254157652178,0.1351829697520681
2,0,256,instant,10,0.6036916662103625,0.7757030412642798,0.5295762204045932,0.18505708558637848,0.11205831627125888,0.14604863387641
2,0,256,trace,10,0.9107291132673213,0.42862227317011115,0.7781703296967193,0.06582133620973644,0.12965163333916552,0.13424206888654686
2,1,2,instant,10,0.976272340705839,0.19052429324123038,0.9841563548198173,0.03092989750868336,0.10320045060842739,0.0327626092416765
2,1,2,trace,10,0.9899339657095758,0.1358949167105804,0.9909058387424455,0.005619642874783219,0.04868099271935115,0.028381317591660186
2,1,4,instant,10,0.9458124430432072,0.3167009142412787,0.9255650065856995,0.03019913234191987,0.08381682732246896,0.06090651402642646
2,1,4,trace,10,0.979129774704024,0.2025980344830181,0.9687882016305596,0.010402783618079562,0.05041555462285759,0.04447864336689186
2,1,8,instant,10,0.865790923155201,0.4835560784162215,0.7652932104169407,0.10190520161981965,0.148165569106663,0.14203196488730138
2,1,8,trace,10,0.9676932225733953,0.24002822506035323,0.933704254637917,0.024552576399835113,0.09664950284937121,0.06717793705910828
