layers,memory,seed,T,mode,cos,rel,norm
4,1,6,256,trace,0.7649311217461692,0.6445368270557119,0.7883214059487548
4,1,6,256,instant,0.691121897165264,0.7560515049409882,0.46916926747419885
1,0,7,256,trace,0.9997024773020747,0.02438897572185618,0.9996574177459432
1,0,7,256,instant,0.5497996369267032,0.8378177300128757,0.6147443570083979
1,1,7,256,trace,0.9878055985393015,0.16208195484753518,0.9427514153471386
1,1,7,256,instant,0.9416653565795671,0.3378413993007332,0.912163465776329
2,0,7,256,trace,0.8679732996951828,0.5043403542162697,0.7800154796297627
2,0,7,256,instant,0.6816569955475945,0.7317148413643175,0.6737692326112941
2,1,7,256,trace,0.9084498079262325,0.5151054900301147,0.6074283019024478
2,1,7,256,instant,0.5367864394746156,0.8745397799323648,0.30665838396950296
4,0,7,256,trace,0.8530984632862084,0.5555301735354212,0.6623338051372087
4,0,7,256,instant,0.3331716575853381,0.9430828927974533,0.31294804470559406
4,1,7,256,trace,0.5316794004752351,0.8603899802903162,0.6831859478365695
4,1,7,256,instant,0.3712964214847121,0.9322612052753931,0.2877925096313367
1,0,8,256,trace,0.9999685800237242,0.007911647286633185,0.9999720859863251
1,0,8,256,instant,0.8371647247180921,0.5619503257968534,0.7081960972453103
1,1,8,256,trace,0.9916412515546043,0.1541955312908667,1.0760712237125631
1,1,8,256,instant,0.8088038565253375,0.5910362012677116,0.7497543945265891
2,0,8,256,trace,0.9177968827410702,0.4309912218405291,0.7501530300826167
2,0,8,256,instant,0.498570571812236,0.8694509418892398,0.4313562272519387
2,1,8,256,trace,0.952030748935715,0.3119095880723156,1.0124478395648566
2,1,8,256,instant,0.6543722347353157,0.7755026620195749,0.4823031179307663
4,0,8,256,trace,0.9005685713305482,0.5168011252648518,0.621092335813098
4,0,8,256,instant,0.5339279802668367,0.8858782128765813,0.2696188306853606
4,1,8,256,trace,0.8267653254565343,0.5632303420923832,0.8545055887257147
4,1,8,256,instant,0.7329655228515262,0.6908167279940862,0.6126901807907557
1,0,9,256,trace,0.9995182911541758,0.03103152146946213,0.9995057007709609
1,0,9,256,instant,0.8875632631095198,0.46304976714674095,0.8408359832876799
1,1,9,256,trace,0.9729815013077157,0.23218828346374024,0.9483883386083499
1,1,9,256,instant,0.8609614029074826,0.5141660539875805,0.7859873329966165
2,0,9,256,trace,0.9074820350634659,0.6035274578895561,0.4741597160271656
2,0,9,256,instant,0.1567116486634836,0.9899245181996501,0.22385895748894308
